,index,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
10,10,11,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,44.59M,0.65,23.47,-2.21%,7329,11,44.59M,-,128.10%,-98.70%,-,34.10,34.10,-,-,-,-,-,-,23.47,-2.21%,7329,0.65,-,-,-,-,0.49,2.67,-33.70%,-,-41.60%,-,-,2.05M,1.03M,1.20%,0.00%,26.90%,-3.58%,2.54%,0.44,59.85K,-2.65%,-19.01%,31.26%,21.04%,16.77%,-0.47%,4.37%,8.38%,-,59.85K,0.12,0.80,2.55,-5.10%,15.87%,17.72%,-26.40%,87.15%,51.34,-1.92%,-0.29%
11,11,12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,90.34M,5.89,4.49,3.70%,19056,12,90.34M,0.45%,4.00%,11.60%,7.70%,-,-,0.24,0.24,-,10.70%,7.70%,-,4.49,3.70%,19056,5.89,-,-,0.44,0.69,9.51,-,-,-,24.30%,-,3.30%,21.79M,4.05M,2.90%,0.00%,6.50%,29.13%,6.93%,3.82,73.60K,6.65%,10.59%,2.51%,23.35%,122.28%,117.96%,6.08%,5.35%,-,73.60K,0.26,0.16,0.23,11.91%,12.37%,14.46%,-71.88%,136.32%,65.37,2.28%,1.39%
12,12,13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,894.96M,9.16,27.95,-0.89%,92191,13,894.96M,1.43%,-,-,-36.30%,-,-,0.00,0.00,-,-,-,Jul 27/b,27.95,-0.89%,92191,9.16,9.39,-,0.49,1.29,18.64,-,9.90%,-10.45%,-37.70%,-12.10%,-4.00%,33.81M,31.97M,1.20%,-15.41%,94.00%,-3.20%,2.22%,2.65,268.31K,-0.53%,4.72%,-9.69%,12.34%,-,47.42%,2.55%,3.34%,2.70,268.31K,0.34,-,0.90,2.26%,1.35%,3.87%,-25.45%,72.53%,52.47,-1.13%,0.25%
13,13,14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,184.08M,-,6.79,-1.59%,357460,14,184.08M,-,-9.70%,-17.10%,-13.20%,2.30,1.20,0.35,0.53,22.30%,-20.50%,-20.10%,Aug 05/a,6.79,-1.59%,357460,-,-,-,0.79,0.66,4.18,-,19.10%,48.20%,-43.50%,13.00%,4.30%,26.85M,25.78M,7.70%,0.00%,49.10%,-5.62%,17.40%,10.24,437.96K,-5.56%,-12.05%,-14.64%,-17.90%,-41.42%,-20.21%,4.07%,4.05%,2.70,437.96K,0.82,1.79,0.29,-4.75%,-5.85%,-19.80%,-51.32%,6.26%,39.77,-2.16%,0.58%
14,14,15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.55B,48.31,68.99,-1.25%,84411,15,3.55B,0.55%,16.30%,21.00%,22.10%,3.30,2.20,0.02,0.02,29.40%,18.70%,14.90%,Aug 05/a,68.99,-1.25%,84411,48.31,43.12,4.03,6.94,9.42,31.84,68.60,45.90%,12.12%,12.10%,12.00%,7.50%,52.43M,41.51M,18.40%,-0.08%,72.00%,-0.48%,3.58%,11.10,134.04K,3.57%,6.68%,10.10%,-0.99%,9.91%,3.54%,2.74%,2.47%,3.00,134.04K,0.63,0.56,1.74,3.92%,3.44%,1.32%,-15.09%,22.60%,59.57,-0.98%,-0.27%
15,15,16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,13.55B,22.96,214.15,-0.16%,348666,16,13.55B,1.87%,5.30%,17.70%,11.80%,1.30,0.40,0.31,0.00,44.90%,7.90%,5.70%,Aug 24/b,214.15,-0.16%,348666,22.96,16.79,1.62,1.24,4.20,16.74,14.64,4.40%,11.43%,2.20%,14.20%,0.70%,64.75M,62.73M,0.20%,-4.74%,-,-1.63%,6.30%,6.84,577.75K,2.96%,6.43%,1.05%,13.87%,35.83%,35.96%,1.79%,1.97%,2.20,577.75K,0.60,1.30,4.12,2.48%,3.07%,12.46%,-2.71%,50.19%,57.83,0.18%,-0.34%
16,16,17,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2343.12B,27.99,142.90,-0.27%,58648948,17,2343.12B,0.62%,25.80%,131.00%,31.70%,1.10,1.00,1.65,1.89,41.00%,28.80%,25.00%,Oct 28/a,142.90,-0.27%,58648948,27.99,25.16,1.41,6.75,36.93,37.98,29.13,10.20%,1.59%,7.30%,19.86%,3.30%,16.63B,16.36B,0.07%,-19.55%,58.80%,-0.57%,0.62%,1.25,80.84M,0.18%,-7.25%,-1.11%,8.88%,24.29%,7.69%,1.97%,2.03%,1.90,80.84M,0.73,1.22,2.94,-1.32%,-3.11%,5.63%,-9.13%,33.15%,44.51,-0.78%,0.51%
17,17,18,AAQC,Accelerate Acquisition Corp.,Financial,Shell Companies,USA,392.00M,-,9.80,0.62%,121569,18,392.00M,-,-,-,-,-,-,-,-,-,-,-,-,9.80,0.62%,121569,-,-,-,-,-,-,-,-,-,-,-,-,40.00M,-,-,-,-,-,-,0.50,50.45K,1.14%,1.14%,1.24%,-,-,0.20%,0.49%,0.36%,-,50.45K,2.41,-,0.04,0.96%,1.32%,1.17%,-1.61%,2.09%,68.57,0.82%,-0.21%
18,18,19,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,2.27B,126.56,38.22,-0.23%,128648,19,2.27B,2.93%,0.60%,1.40%,3.30%,-,-,1.32,1.32,64.30%,23.10%,5.30%,Oct 26/a,38.22,-0.23%,128648,126.56,43.19,42.19,6.64,1.83,6.16,-,-45.30%,92.39%,-11.70%,3.00%,4.60%,59.99M,59.66M,0.50%,112.12%,98.20%,0.77%,2.09%,4.74,263.15K,0.18%,-2.72%,0.47%,15.09%,48.25%,32.34%,2.10%,2.29%,2.60,263.15K,0.49,1.26,0.87,-0.40%,-0.27%,10.01%,-5.91%,84.37%,48.95,0.26%,-0.50%
19,19,20,AATC,Autoscope Technologies Corporation,Technology,Scientific & Technical Instruments,USA,37.40M,12.66,6.90,-2.82%,35749,20,37.40M,6.96%,13.70%,14.70%,5.30%,13.20,12.40,0.00,0.00,77.00%,21.40%,21.70%,-,6.90,-2.82%,35749,12.66,-,0.63,2.79,1.78,4.45,16.26,-84.90%,-,21.20%,20.00%,-2.80%,5.34M,3.13M,13.60%,-,28.70%,-4.72%,1.62%,1.01,50.26K,-5.48%,-16.36%,2.37%,50.00%,77.38%,53.67%,4.11%,4.18%,-,50.26K,0.71,1.18,0.33,-9.86%,-6.54%,12.64%,-40.41%,100.00%,35.50,-2.95%,0.14%
20,0,21,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,54.61M,-,0.39,-1.15%,287997,21,54.61M,-,-3.90%,-4.10%,-,24.00,24.00,0.04,0.04,-,-,-,-,0.39,-1.15%,287997,-,-,-,-,0.82,5.57,-,20.80%,-,-11.30%,-,-,137.22M,131.63M,7.20%,0.00%,5.00%,-10.31%,0.99%,2.51,520.40K,-0.95%,-1.87%,-19.61%,-24.02%,-50.13%,-17.40%,4.07%,4.59%,-,520.40K,0.55,1.00,0.02,-2.35%,-4.60%,-27.43%,-68.75%,6.19%,45.34,-3.58%,2.53%
21,1,22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.32B,5.12,81.65,-1.86%,350932,22,2.32B,-,7.60%,19.90%,7.80%,0.90,0.90,0.71,0.96,56.90%,16.10%,12.70%,Aug 05/b,81.65,-1.86%,350932,5.12,7.28,0.51,0.65,0.95,-,3.34,218.90%,-28.21%,115.40%,10.00%,12.00%,29.01M,27.12M,0.80%,-13.26%,-,6.27%,12.89%,7.99,437.81K,-2.20%,11.79%,20.45%,27.26%,21.09%,49.71%,2.85%,3.82%,2.00,437.81K,0.80,1.20,2.67,3.10%,8.27%,23.38%,-5.55%,62.58%,56.32,-2.36%,0.50%
22,2,23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,85.64,0.26%,514033,23,-,1.09%,-,-,-,-,-,-,-,-,-,-,-,85.64,0.26%,514033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11M,1.16%,-3.98%,-6.70%,-7.33%,7.52%,-4.43%,1.02%,0.93%,-,1.11M,0.46,-,1.13,-0.32%,-1.63%,-7.09%,-16.40%,9.44%,48.05,0.12%,0.14%
23,3,24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4.94B,15.21,50.70,0.98%,223575,24,4.94B,6.07%,21.00%,21.00%,17.40%,-,-,0.00,0.00,-,100.00%,91.90%,Jul 29/b,50.70,0.98%,223575,15.21,12.97,0.94,13.66,3.17,-,-,15.90%,9.80%,9.30%,16.14%,8.00%,100.16M,94.95M,0.40%,0.00%,14.10%,-10.89%,1.42%,5.34,251.97K,-0.18%,-1.17%,8.70%,25.96%,70.48%,50.13%,1.95%,2.51%,2.40,251.97K,0.89,1.41,1.22,-0.22%,0.15%,16.91%,-3.70%,77.89%,50.67,0.22%,0.76%
24,4,25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,68.53B,74.60,33.05,-0.48%,1108612,25,68.53B,2.63%,13.80%,38.00%,4.30%,1.10,0.80,0.31,0.47,31.70%,8.50%,20.30%,Oct 21/b,33.05,-0.48%,1108612,74.60,19.36,5.11,2.44,4.78,17.19,68.87,-71.60%,16.92%,-30.70%,14.60%,-5.90%,2.02B,1.87B,-,-,5.90%,5.22%,0.12%,1.73,1.26M,-0.60%,-9.45%,-8.09%,4.03%,24.53%,18.20%,1.02%,1.10%,2.20,1.26M,0.88,1.12,0.52,-4.86%,-8.85%,-0.15%,-13.09%,37.31%,29.15,-0.54%,0.06%
25,5,26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,194.28B,29.93,111.18,0.28%,4996923,26,194.28B,4.68%,4.40%,48.30%,12.70%,0.90,0.80,5.91,6.53,65.70%,28.90%,12.30%,Jul 30/b,111.18,0.28%,4996923,29.93,7.96,6.39,3.62,15.64,22.59,18.09,-48.50%,10.69%,-2.80%,4.68%,14.90%,1.77B,1.76B,0.10%,-5.88%,68.70%,-0.20%,0.74%,1.82,7.15M,1.92%,3.65%,-5.48%,2.71%,27.30%,3.76%,1.63%,1.76%,2.00,7.15M,0.70,0.83,2.37,3.04%,-1.43%,0.12%,-8.52%,40.54%,55.12,0.12%,0.16%
26,6,27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,24.73B,-,119.37,0.67%,662127,27,24.73B,1.47%,-7.80%,764.10%,-105.20%,0.90,0.60,174.93,186.92,3.00%,-2.10%,-1.80%,Aug 04/b,119.37,0.67%,662127,-,11.30,-,0.12,663.17,9.69,11.22,-530.90%,14.52%,8.70%,12.35%,6.90%,206.16M,148.49M,0.20%,-37.21%,66.00%,-0.15%,1.14%,2.10,805.36K,-0.37%,-3.42%,3.31%,1.56%,21.20%,22.11%,2.43%,1.94%,2.30,805.36K,0.82,0.53,2.39,-1.82%,-1.62%,3.79%,-7.37%,29.42%,45.21,0.71%,-0.03%
27,7,28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.60B,8.69,52.82,-0.58%,182059,28,3.60B,1.14%,2.00%,15.70%,13.80%,-,-,0.18,0.18,-,91.50%,59.60%,Jul 22/a,52.82,-0.58%,182059,8.69,12.05,1.09,5.07,1.29,1.08,5.42,37.00%,-18.16%,24.30%,8.00%,30.70%,69.50M,65.94M,1.30%,-0.84%,91.40%,2.13%,2.81%,4.75,389.33K,-0.49%,12.98%,6.04%,1.03%,99.85%,38.74%,2.35%,2.96%,2.10,389.33K,0.47,1.36,1.54,5.76%,7.05%,6.43%,-11.75%,115.64%,60.17,-0.73%,0.15%
28,8,29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,4.99B,20.77,15.37,-2.60%,1792757,29,4.99B,-,-,-,13.60%,12.40,12.40,0.00,0.00,-,-,-,Aug 12/a,15.37,-2.60%,1792757,20.77,-,-,11.15,4.32,6.30,-,-22.20%,-108.60%,-,-,-,272.20M,190.90M,20.80%,-19.34%,47.70%,26.17%,4.12%,3.18,2.47M,-10.64%,-16.60%,-17.59%,-44.95%,-,-61.80%,4.81%,6.86%,1.60,2.47M,0.73,-,1.22,-19.15%,-12.76%,-45.82%,-78.63%,5.93%,33.32,-2.60%,0.00%
29,9,30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.66B,209.90,20.57,-0.96%,70435,30,4.66B,-,1.80%,2.60%,2.00%,5.60,4.80,0.17,0.19,71.10%,3.50%,4.20%,-,20.57,-0.96%,70435,209.90,-,-,11.61,5.33,-,136.54,-72.70%,-,-,-,-,219.60M,193.73M,-,-,10.60%,11.84%,0.07%,1.56,82.40K,1.73%,-2.37%,9.71%,5.87%,-,-4.55%,2.01%,2.08%,2.00,82.40K,0.85,-,0.51,-0.19%,0.30%,-0.14%,-16.69%,20.01%,50.18,-1.11%,0.14%
30,10,31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,97.53M,-,0.95,-0.46%,332242,31,97.53M,-,-37.30%,-54.80%,-78.10%,1.90,1.90,0.00,0.02,-,-,-,Jul 28/a,0.95,-0.46%,332242,-,-,-,9.75,1.09,1.26,-,40.00%,6.30%,-11.50%,-,57.30%,96.51M,85.26M,2.10%,-5.45%,28.30%,-10.57%,3.80%,3.86,840.53K,-13.99%,-27.22%,-33.37%,-38.96%,-31.44%,-39.74%,11.53%,6.57%,1.70,840.53K,0.40,1.52,0.07,-17.83%,-22.21%,-43.64%,-75.04%,12.97%,24.91,-2.28%,1.86%
31,11,32,ABEQ,Absolute Core Strategy ETF,Financial,Exchange Traded Fund,USA,-,-,27.43,0.10%,22632,32,-,0.47%,-,-,-,-,-,-,-,-,-,-,-,27.43,0.10%,22632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.34K,1.50%,-0.53%,-0.54%,2.42%,16.28%,7.81%,0.59%,0.56%,-,3.34K,6.78,-,0.22,1.14%,-0.31%,1.64%,-4.76%,19.73%,54.87,-0.47%,0.57%
32,12,33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,43.12B,16.21,2.74,2.24%,18451195,33,43.12B,0.36%,-,-,-,-,-,-,-,-,-,-,Jul 29/b,2.74,2.24%,18451195,16.21,19.57,2.19,0.65,0.55,-,-,0.00%,0.00%,39.83%,7.40%,-,15.74B,4.40B,-,-,9.63%,-,1.04%,1.81,25.21M,-1.44%,-10.16%,-19.65%,0.00%,14.31%,-10.46%,2.65%,2.90%,3.20,25.21M,0.73,-,0.09,-4.96%,-10.48%,-10.87%,-30.63%,32.02%,33.68,0.37%,1.87%
33,13,34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,4.02B,9.39,208.75,2.27%,124177,34,4.02B,-,12.00%,44.50%,11.20%,1.50,0.80,1.16,1.41,17.90%,7.20%,4.90%,Jul 27/b,208.75,2.27%,124177,9.39,9.07,0.51,0.45,3.51,39.26,5.91,38.00%,-5.86%,15.50%,18.50%,1.60%,19.30M,19.16M,0.10%,0.02%,-,-0.59%,7.57%,9.25,156.84K,5.55%,19.54%,11.32%,4.75%,81.29%,43.23%,3.06%,3.43%,2.10,156.84K,0.79,1.60,6.57,10.18%,9.78%,14.52%,-3.75%,109.48%,64.58,2.00%,0.27%
34,14,35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,187.79M,-,9.70,-0.56%,50,35,187.79M,-,-,-,-,5.90,5.90,0.00,0.00,-,-,-,-,9.70,-0.56%,50,-,-,-,-,1.28,268.27,-,-,-,-,-,-,19.33M,15.06M,3.22%,0.00%,87.10%,0.08%,0.04%,0.34,16.16K,-0.26%,0.21%,-2.18%,-2.37%,-,-6.19%,0.02%,0.28%,-,16.16K,0.00,-,0.05,-0.09%,-0.16%,-1.85%,-9.26%,0.94%,48.19,0.00%,-0.56%
35,15,36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,38.97M,-,2.71,-1.45%,136125,36,38.97M,-,-27.10%,-28.60%,-,17.50,17.50,0.00,0.00,-,-,-,Aug 04/a,2.71,-1.45%,136125,-,-,-,-,0.64,0.62,-,50.20%,-,42.50%,-,-,14.41M,14.35M,0.40%,53.30%,8.30%,36.16%,2.71%,1.47,264.64K,-8.75%,-11.73%,-26.56%,-22.57%,-38.13%,-32.42%,4.44%,3.63%,-,264.64K,0.51,2.66,0.11,-8.17%,-9.68%,-25.38%,-50.73%,0.00%,33.89,-1.81%,0.36%
36,16,37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.99B,21.70,46.31,-0.06%,116420,37,2.99B,1.64%,3.80%,9.30%,1.90%,1.40,1.40,0.39,0.41,16.30%,3.70%,2.40%,Sep 08/a,46.31,-0.06%,116420,21.70,13.51,1.36,0.50,1.98,5.91,7.97,-99.80%,-2.92%,-68.40%,16.00%,4.10%,67.50M,66.43M,1.00%,-8.03%,95.30%,0.24%,2.18%,3.23,448.60K,-1.36%,0.89%,4.68%,-12.67%,23.56%,22.38%,2.30%,2.47%,2.00,448.60K,0.26,1.41,1.20,1.43%,-1.20%,-0.41%,-16.53%,38.20%,50.53,-0.02%,-0.04%
37,17,38,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,USA,15.40B,99.92,337.13,-0.93%,112440,38,15.40B,-,10.80%,12.20%,12.50%,6.50,5.70,0.00,0.00,81.70%,15.60%,16.50%,Aug 05/b,337.13,-0.93%,112440,99.92,63.14,9.96,16.47,11.68,29.45,62.19,11.40%,21.87%,42.20%,10.03%,20.80%,45.31M,44.46M,1.30%,-14.49%,93.60%,0.42%,1.88%,4.43,188.90K,4.27%,-7.85%,4.65%,1.21%,24.31%,3.99%,3.62%,2.90%,2.30,188.90K,0.60,1.35,10.09,-1.56%,-2.12%,4.75%,-12.98%,38.89%,47.05,-0.93%,0.00%
38,18,39,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,103.60B,-,169.97,0.22%,2243487,39,103.60B,-,-41.70%,-243.10%,-74.20%,1.50,1.50,0.58,0.58,57.60%,-80.40%,-,Aug 12/a,169.97,0.22%,2243487,-,429.22,-,23.42,30.63,13.95,71.39,-566.20%,129.00%,-,-,29.70%,611.74M,335.62M,4.10%,-21.23%,47.80%,37.32%,4.36%,2.44,6.00M,-1.76%,2.39%,15.87%,-3.69%,-,15.78%,3.21%,3.24%,2.40,6.00M,0.37,-,5.43,1.18%,7.38%,3.42%,-22.72%,39.89%,56.23,-0.59%,0.81%
39,19,40,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,529.66M,-,13.45,-9.12%,71627,40,529.66M,-,-,-,42.50%,15.60,15.60,-,-,-,-,-,-,13.45,-9.12%,71627,-,-,-,481.51,-,7.70,-,4.70%,71.20%,-,32.10%,-,39.38M,35.91M,0.50%,-,53.35%,-,0.39%,0.70,200.04K,-11.92%,-24.01%,-27.30%,-,-,-33.08%,6.36%,8.09%,2.00,200.04K,0.36,-,1.23,-13.23%,-15.76%,-18.61%,-50.15%,-3.58%,33.98,-8.50%,-0.68%
40,0,41,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.68B,8.32,19.15,0.68%,899008,41,2.68B,7.10%,4.00%,23.50%,1.70%,-,-,4.23,4.23,76.90%,50.40%,44.10%,Jul 30/b,19.15,0.68%,899008,8.32,10.15,1.04,3.72,1.61,12.42,80.93,-4.00%,-4.55%,6.50%,8.00%,33.50%,142.18M,135.57M,1.40%,0.21%,45.70%,6.62%,3.67%,3.77,1.32M,1.70%,5.05%,4.76%,17.20%,61.06%,35.05%,1.47%,1.64%,2.20,1.32M,0.68,1.86,0.30,4.14%,4.87%,12.63%,-1.74%,73.15%,68.99,0.58%,0.11%
